product_id,user_id,interaction
678e161044a092bc86641aa0,678e0fe596822708dc914e9f,1
678f5bb777bdc2dd8ccd0748,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f944a092bc866418ed,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f1,678e0fe596822708dc914e9f,1
678f5c1577bdc2dd8ccd07a4,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678e150e44a092bc86641935,678e0fe596822708dc914e9f,1
678f5c1577bdc2dd8ccd07a0,678e0fe596822708dc914e9f,1
678f5c1377bdc2dd8ccd0780,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f1,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f1,678e0fe596822708dc914e9f,1
678f5c1577bdc2dd8ccd07a0,678e0fe596822708dc914e9f,1
678f5c1577bdc2dd8ccd0798,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f5,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f5,678e0fe596822708dc914e9f,1
678e151044a092bc86641955,678e0fe596822708dc914e9f,1
678e14f944a092bc866418ed,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e5,678e0fe596822708dc914e9f,1
678e14fb44a092bc86641911,678e0fe596822708dc914e9f,1
678e14fb44a092bc86641911,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f1,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f5,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f1,678e0fe596822708dc914e9f,1
678e14f944a092bc866418f9,678e0fe596822708dc914e9f,1
678e14fb44a092bc86641911,678e0fe596822708dc914e9f,1
678f5c1577bdc2dd8ccd07a4,678e0fe596822708dc914e9f,1
678e14f844a092bc866418e9,678e0fe596822708dc914e9f,1
